variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.300,higher,10,MIRAGES,0.288,0.012
initial,BLEU,4.910,higher,10,RainCityNLP,4.870,0.040
initial,METEOR,0.255,higher,9,LaySummX,0.253,0.002
initial,BERTScore,0.845,higher,13,MIRAGES,0.846,-0.001
initial,FKGL,12.740,lower,11,Baseline-qwen2.5-7B-sft,12.710,0.030
initial,DCRS,13.682,lower,17,SXZ,11.830,1.852
initial,CLI,16.664,lower,16,MetinOZU,17.010,-0.346
initial,LENS,66.617,higher,9,BDA-UCM,64.070,2.547
initial,AlignScore,0.860,higher,4,SXZ,0.862,-0.002
initial,SummaC,0.761,higher,2,SUWMIT,0.682,0.079
rewritten,ROUGE,0.309,higher,10,Aard,0.319,-0.010
rewritten,BLEU,5.237,higher,10,LaySummX,5.440,-0.203
rewritten,METEOR,0.266,higher,9,TupiQ,0.268,-0.002
rewritten,BERTScore,0.846,higher,13,MIRAGES,0.846,-0.000
rewritten,FKGL,12.680,lower,10,Baseline-qwen2.5-7B-sft,12.710,-0.030
rewritten,DCRS,13.621,lower,17,SXZ,11.830,1.791
rewritten,CLI,16.554,lower,16,RainCityNLP,16.240,0.314
rewritten,LENS,60.394,higher,11,Baseline-qwen2.5-7B-sft,60.220,0.174
rewritten,AlignScore,0.859,higher,4,SXZ,0.862,-0.003
rewritten,SummaC,0.748,higher,2,SUWMIT,0.682,0.066
