variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.285,higher,12,RainCityNLP,0.284,0.001
initial,BLEU,4.962,higher,10,RainCityNLP,4.870,0.092
initial,METEOR,0.213,higher,14,LTRC,0.222,-0.009
initial,BERTScore,0.840,higher,13,RainCityNLP,0.840,0.000
initial,FKGL,13.494,lower,13,TupiQ,13.440,0.054
initial,DCRS,13.254,lower,17,SXZ,11.830,1.424
initial,CLI,16.060,lower,15,RainCityNLP,16.240,-0.180
initial,LENS,60.877,higher,11,Baseline-qwen2.5-7B-sft,60.220,0.657
initial,AlignScore,0.825,higher,4,SXZ,0.862,-0.037
initial,SummaC,0.759,higher,2,SUWMIT,0.682,0.077
rewritten,ROUGE,0.287,higher,12,MIRAGES,0.288,-0.001
rewritten,BLEU,5.428,higher,10,LaySummX,5.440,-0.012
rewritten,METEOR,0.220,higher,14,LTRC,0.222,-0.002
rewritten,BERTScore,0.839,higher,14,RainCityNLP,0.840,-0.001
rewritten,FKGL,14.027,lower,13,Aard,14.560,-0.533
rewritten,DCRS,13.385,lower,17,SXZ,11.830,1.555
rewritten,CLI,16.547,lower,16,RainCityNLP,16.240,0.307
rewritten,LENS,61.795,higher,11,x2z,63.220,-1.425
rewritten,AlignScore,0.812,higher,4,TupiQ,0.762,0.050
rewritten,SummaC,0.735,higher,2,SUWMIT,0.682,0.053
