variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.341,higher,4,TupiQ,0.335,0.006
initial,BLEU,5.976,higher,8,5cNLP,6.140,-0.164
initial,METEOR,0.272,higher,7,TupiQ,0.268,0.004
initial,BERTScore,0.850,higher,11,LTRC,0.850,-0.000
initial,FKGL,12.138,lower,4,Baseline-llama3-8B-sft,12.200,-0.062
initial,DCRS,12.861,lower,17,SXZ,11.830,1.031
initial,CLI,15.840,lower,15,RainCityNLP,16.240,-0.400
initial,LENS,71.126,higher,9,MIRAGES,71.270,-0.144
initial,AlignScore,0.796,higher,4,TupiQ,0.762,0.034
initial,SummaC,0.747,higher,2,SUWMIT,0.682,0.065
rewritten,ROUGE,0.341,higher,4,TupiQ,0.335,0.006
rewritten,BLEU,5.976,higher,8,5cNLP,6.140,-0.164
rewritten,METEOR,0.272,higher,7,TupiQ,0.268,0.004
rewritten,BERTScore,0.850,higher,11,LTRC,0.850,-0.000
rewritten,FKGL,12.138,lower,4,Baseline-llama3-8B-sft,12.200,-0.062
rewritten,DCRS,12.861,lower,17,SXZ,11.830,1.031
rewritten,CLI,15.840,lower,15,RainCityNLP,16.240,-0.400
rewritten,LENS,71.126,higher,9,MIRAGES,71.270,-0.144
rewritten,AlignScore,0.796,higher,4,TupiQ,0.762,0.034
rewritten,SummaC,0.747,higher,2,SUWMIT,0.682,0.065
