variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.354,higher,3,Baseline-qwen2.5-7B-sft,0.352,0.002
initial,BLEU,8.287,higher,4,BDA-UCM,8.080,0.207
initial,METEOR,0.312,higher,2,Baseline-llama3-8B-sft,0.314,-0.002
initial,BERTScore,0.852,higher,9,Aard,0.851,0.001
initial,FKGL,13.837,lower,13,TupiQ,13.440,0.397
initial,DCRS,12.667,lower,17,SXZ,11.830,0.837
initial,CLI,15.265,lower,13,5cNLP,15.340,-0.075
initial,LENS,70.675,higher,9,MIRAGES,71.270,-0.595
initial,AlignScore,0.654,higher,12,LaySummX,0.675,-0.021
initial,SummaC,0.593,higher,8,BDA-UCM,0.590,0.003
rewritten,ROUGE,0.355,higher,3,Baseline-qwen2.5-7B-sft,0.352,0.003
rewritten,BLEU,8.598,higher,4,Baseline-qwen2.5-7B-sft,8.740,-0.142
rewritten,METEOR,0.313,higher,2,Baseline-llama3-8B-sft,0.314,-0.001
rewritten,BERTScore,0.852,higher,9,Aard,0.851,0.001
rewritten,FKGL,13.903,lower,13,TupiQ,13.440,0.463
rewritten,DCRS,12.698,lower,17,SXZ,11.830,0.868
rewritten,CLI,15.270,lower,13,5cNLP,15.340,-0.070
rewritten,LENS,70.376,higher,9,MIRAGES,71.270,-0.894
rewritten,AlignScore,0.649,higher,12,5cNLP,0.631,0.018
rewritten,SummaC,0.584,higher,9,BDA-UCM,0.590,-0.006
