variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.307,higher,10,Aard,0.319,-0.012
initial,BLEU,6.411,higher,7,5cNLP,6.140,0.271
initial,METEOR,0.243,higher,10,RainCityNLP,0.241,0.002
initial,BERTScore,0.847,higher,12,CUTN_Bio,0.848,-0.001
initial,FKGL,12.035,lower,4,Baseline-llama3-8B-sft,12.200,-0.165
initial,DCRS,13.420,lower,17,SXZ,11.830,1.590
initial,CLI,16.540,lower,16,RainCityNLP,16.240,0.300
initial,LENS,65.862,higher,9,BDA-UCM,64.070,1.792
initial,AlignScore,0.942,higher,1,MetinOZU,0.881,0.061
initial,SummaC,0.915,higher,2,MetinOZU,0.920,-0.005
rewritten,ROUGE,0.328,higher,8,MetinOZU,0.330,-0.002
rewritten,BLEU,8.751,higher,3,Baseline-qwen2.5-7B-sft,8.740,0.011
rewritten,METEOR,0.267,higher,9,TupiQ,0.268,-0.001
rewritten,BERTScore,0.849,higher,11,LTRC,0.850,-0.001
rewritten,FKGL,11.919,lower,4,SUWMIT,11.740,0.179
rewritten,DCRS,13.360,lower,17,SXZ,11.830,1.530
rewritten,CLI,16.332,lower,16,RainCityNLP,16.240,0.092
rewritten,LENS,58.808,higher,12,Baseline-qwen2.5-7B-sft,60.220,-1.412
rewritten,AlignScore,0.936,higher,1,MetinOZU,0.881,0.055
rewritten,SummaC,0.922,higher,1,MetinOZU,0.920,0.002
