variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.322,higher,8,LaySummX,0.321,0.001
initial,BLEU,5.229,higher,10,LaySummX,5.440,-0.211
initial,METEOR,0.241,higher,10,RainCityNLP,0.241,0.000
initial,BERTScore,0.849,higher,11,CUTN_Bio,0.848,0.001
initial,FKGL,10.787,lower,2,CUTN_Bio,10.520,0.267
initial,DCRS,12.836,lower,17,SXZ,11.830,1.006
initial,CLI,14.960,lower,13,5cNLP,15.340,-0.380
initial,LENS,74.237,higher,5,Baseline-llama3-8B-sft,72.860,1.377
initial,AlignScore,0.774,higher,4,TupiQ,0.762,0.012
initial,SummaC,0.679,higher,3,SUWMIT,0.682,-0.003
rewritten,ROUGE,0.321,higher,8,LaySummX,0.321,0.000
rewritten,BLEU,5.224,higher,10,LaySummX,5.440,-0.216
rewritten,METEOR,0.241,higher,11,RainCityNLP,0.241,-0.000
rewritten,BERTScore,0.848,higher,11,CUTN_Bio,0.848,0.000
rewritten,FKGL,10.742,lower,2,CUTN_Bio,10.520,0.222
rewritten,DCRS,12.858,lower,17,SXZ,11.830,1.028
rewritten,CLI,14.954,lower,13,5cNLP,15.340,-0.386
rewritten,LENS,73.913,higher,5,Baseline-llama3-8B-sft,72.860,1.053
rewritten,AlignScore,0.771,higher,4,TupiQ,0.762,0.009
rewritten,SummaC,0.666,higher,3,RainCityNLP,0.653,0.013
