variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.336,higher,4,TupiQ,0.335,0.001
initial,BLEU,6.282,higher,7,5cNLP,6.140,0.142
initial,METEOR,0.270,higher,7,TupiQ,0.268,0.002
initial,BERTScore,0.851,higher,9,Aard,0.851,0.000
initial,FKGL,10.741,lower,2,CUTN_Bio,10.520,0.221
initial,DCRS,12.284,lower,17,SXZ,11.830,0.454
initial,CLI,14.418,lower,13,Baseline-qwen2.5-7B-sft,13.700,0.718
initial,LENS,75.137,higher,5,5cNLP,76.050,-0.913
initial,AlignScore,0.753,higher,6,Baseline-qwen2.5-7B-sft,0.754,-0.001
initial,SummaC,0.675,higher,3,SUWMIT,0.682,-0.007
rewritten,ROUGE,0.335,higher,4,TupiQ,0.335,0.000
rewritten,BLEU,6.685,higher,7,MetinOZU,6.950,-0.265
rewritten,METEOR,0.271,higher,7,TupiQ,0.268,0.003
rewritten,BERTScore,0.850,higher,10,LTRC,0.850,0.000
rewritten,FKGL,10.639,lower,2,CUTN_Bio,10.520,0.119
rewritten,DCRS,12.310,lower,17,SXZ,11.830,0.480
rewritten,CLI,14.348,lower,13,Baseline-qwen2.5-7B-sft,13.700,0.648
rewritten,LENS,74.538,higher,5,5cNLP,76.050,-1.512
rewritten,AlignScore,0.744,higher,7,SUWMIT,0.750,-0.006
rewritten,SummaC,0.682,higher,2,SUWMIT,0.682,0.000
