variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.336,higher,4,TupiQ,0.335,0.001
initial,BLEU,5.941,higher,8,5cNLP,6.140,-0.199
initial,METEOR,0.276,higher,7,TupiQ,0.268,0.008
initial,BERTScore,0.849,higher,11,CUTN_Bio,0.848,0.001
initial,FKGL,15.792,lower,14,5cNLP,16.070,-0.278
initial,DCRS,12.922,lower,17,SXZ,11.830,1.092
initial,CLI,16.684,lower,16,MetinOZU,17.010,-0.326
initial,LENS,68.095,higher,9,MIRAGES,71.270,-3.175
initial,AlignScore,0.619,higher,13,RainCityNLP,0.612,0.007
initial,SummaC,0.540,higher,11,CUTN_Bio,0.549,-0.009
rewritten,ROUGE,0.339,higher,4,TupiQ,0.335,0.004
rewritten,BLEU,6.440,higher,7,5cNLP,6.140,0.300
rewritten,METEOR,0.285,higher,7,MetinOZU,0.290,-0.005
rewritten,BERTScore,0.847,higher,12,CUTN_Bio,0.848,-0.001
rewritten,FKGL,15.368,lower,14,5cNLP,16.070,-0.702
rewritten,DCRS,12.775,lower,17,SXZ,11.830,0.945
rewritten,CLI,16.425,lower,16,RainCityNLP,16.240,0.185
rewritten,LENS,68.198,higher,9,MIRAGES,71.270,-3.072
rewritten,AlignScore,0.604,higher,14,LTRC,0.601,0.003
rewritten,SummaC,0.532,higher,11,SXZ,0.528,0.004
