variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.291,higher,10,MIRAGES,0.288,0.003
initial,BLEU,4.963,higher,10,RainCityNLP,4.870,0.093
initial,METEOR,0.233,higher,11,MIRAGES,0.230,0.003
initial,BERTScore,0.846,higher,12,MIRAGES,0.846,0.000
initial,FKGL,10.922,lower,2,CUTN_Bio,10.520,0.402
initial,DCRS,13.456,lower,17,SXZ,11.830,1.626
initial,CLI,15.595,lower,15,Aard,15.360,0.235
initial,LENS,69.613,higher,9,MIRAGES,71.270,-1.657
initial,AlignScore,0.822,higher,4,SXZ,0.862,-0.040
initial,SummaC,0.747,higher,2,SUWMIT,0.682,0.065
rewritten,ROUGE,0.302,higher,10,MIRAGES,0.288,0.014
rewritten,BLEU,5.141,higher,10,RainCityNLP,4.870,0.271
rewritten,METEOR,0.245,higher,10,RainCityNLP,0.241,0.004
rewritten,BERTScore,0.846,higher,12,MIRAGES,0.846,0.000
rewritten,FKGL,10.855,lower,2,CUTN_Bio,10.520,0.335
rewritten,DCRS,13.256,lower,17,SXZ,11.830,1.426
rewritten,CLI,15.240,lower,13,5cNLP,15.340,-0.100
rewritten,LENS,53.507,higher,12,Baseline-qwen2.5-7B-sft,60.220,-6.713
rewritten,AlignScore,0.821,higher,4,SXZ,0.862,-0.041
rewritten,SummaC,0.746,higher,2,SUWMIT,0.682,0.064
