variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.295,higher,10,MIRAGES,0.288,0.007
initial,BLEU,5.908,higher,8,5cNLP,6.140,-0.232
initial,METEOR,0.236,higher,11,RainCityNLP,0.241,-0.005
initial,BERTScore,0.847,higher,12,CUTN_Bio,0.848,-0.001
initial,FKGL,11.992,lower,4,Baseline-llama3-8B-sft,12.200,-0.208
initial,DCRS,13.464,lower,17,SXZ,11.830,1.634
initial,CLI,16.519,lower,16,RainCityNLP,16.240,0.279
initial,LENS,66.486,higher,9,BDA-UCM,64.070,2.416
initial,AlignScore,0.947,higher,1,MetinOZU,0.881,0.066
initial,SummaC,0.934,higher,1,MetinOZU,0.920,0.014
rewritten,ROUGE,0.314,higher,10,Aard,0.319,-0.005
rewritten,BLEU,7.077,higher,6,TupiQ,7.160,-0.083
rewritten,METEOR,0.256,higher,9,LaySummX,0.253,0.003
rewritten,BERTScore,0.849,higher,11,CUTN_Bio,0.848,0.001
rewritten,FKGL,11.921,lower,4,SUWMIT,11.740,0.181
rewritten,DCRS,13.399,lower,17,SXZ,11.830,1.569
rewritten,CLI,16.417,lower,16,RainCityNLP,16.240,0.177
rewritten,LENS,56.440,higher,12,Baseline-qwen2.5-7B-sft,60.220,-3.780
rewritten,AlignScore,0.935,higher,1,MetinOZU,0.881,0.054
rewritten,SummaC,0.924,higher,1,MetinOZU,0.920,0.004
