variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.329,higher,8,MetinOZU,0.330,-0.001
initial,BLEU,4.965,higher,10,RainCityNLP,4.870,0.095
initial,METEOR,0.303,higher,3,Baseline-qwen2.5-7B-sft,0.303,0.000
initial,BERTScore,0.854,higher,9,LaySummX,0.855,-0.001
initial,FKGL,14.643,lower,14,Aard,14.560,0.083
initial,DCRS,11.595,lower,14,RainCityNLP,11.660,-0.065
initial,CLI,13.766,lower,13,Baseline-qwen2.5-7B-sft,13.700,0.066
initial,LENS,75.255,higher,5,5cNLP,76.050,-0.795
initial,AlignScore,0.504,higher,16,CUTN_Bio,0.589,-0.085
initial,SummaC,0.474,higher,16,LTRC,0.476,-0.002
rewritten,ROUGE,0.327,higher,8,MetinOZU,0.330,-0.003
rewritten,BLEU,4.878,higher,10,RainCityNLP,4.870,0.008
rewritten,METEOR,0.305,higher,3,Baseline-qwen2.5-7B-sft,0.303,0.002
rewritten,BERTScore,0.853,higher,9,LaySummX,0.855,-0.002
rewritten,FKGL,14.749,lower,14,Aard,14.560,0.189
rewritten,DCRS,11.687,lower,15,RainCityNLP,11.660,0.027
rewritten,CLI,13.752,lower,13,Baseline-qwen2.5-7B-sft,13.700,0.052
rewritten,LENS,74.686,higher,5,5cNLP,76.050,-1.364
rewritten,AlignScore,0.514,higher,16,CUTN_Bio,0.589,-0.075
rewritten,SummaC,0.474,higher,16,LTRC,0.476,-0.002
