variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.287,higher,12,MIRAGES,0.288,-0.001
initial,BLEU,5.614,higher,8,Aard,5.450,0.164
initial,METEOR,0.241,higher,11,RainCityNLP,0.241,-0.000
initial,BERTScore,0.837,higher,14,RainCityNLP,0.840,-0.003
initial,FKGL,16.374,lower,15,MetinOZU,16.450,-0.076
initial,DCRS,14.081,lower,17,SXZ,11.830,2.251
initial,CLI,18.127,lower,17,MetinOZU,17.010,1.117
initial,LENS,60.589,higher,11,Baseline-qwen2.5-7B-sft,60.220,0.369
initial,AlignScore,0.823,higher,4,SXZ,0.862,-0.039
initial,SummaC,0.707,higher,2,SUWMIT,0.682,0.025
rewritten,ROUGE,0.283,higher,13,RainCityNLP,0.284,-0.001
rewritten,BLEU,5.719,higher,8,Aard,5.450,0.269
rewritten,METEOR,0.241,higher,11,RainCityNLP,0.241,-0.000
rewritten,BERTScore,0.837,higher,14,RainCityNLP,0.840,-0.003
rewritten,FKGL,16.760,lower,17,RainCityNLP,16.740,0.020
rewritten,DCRS,14.192,lower,17,SXZ,11.830,2.362
rewritten,CLI,18.531,lower,17,MetinOZU,17.010,1.521
rewritten,LENS,58.431,higher,12,Baseline-qwen2.5-7B-sft,60.220,-1.789
rewritten,AlignScore,0.823,higher,4,SXZ,0.862,-0.039
rewritten,SummaC,0.766,higher,2,SUWMIT,0.682,0.084
