variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.324,higher,8,LaySummX,0.321,0.003
initial,BLEU,5.193,higher,10,LaySummX,5.440,-0.247
initial,METEOR,0.249,higher,10,LaySummX,0.253,-0.004
initial,BERTScore,0.850,higher,11,LTRC,0.850,-0.000
initial,FKGL,11.629,lower,2,MIRAGES,11.710,-0.081
initial,DCRS,12.818,lower,17,SXZ,11.830,0.988
initial,CLI,15.616,lower,15,Aard,15.360,0.256
initial,LENS,73.085,higher,5,Baseline-llama3-8B-sft,72.860,0.225
initial,AlignScore,0.773,higher,4,TupiQ,0.762,0.011
initial,SummaC,0.674,higher,3,SUWMIT,0.682,-0.008
rewritten,ROUGE,0.324,higher,8,LaySummX,0.321,0.003
rewritten,BLEU,5.188,higher,10,LaySummX,5.440,-0.252
rewritten,METEOR,0.248,higher,10,LaySummX,0.253,-0.005
rewritten,BERTScore,0.850,higher,11,LTRC,0.850,-0.000
rewritten,FKGL,11.588,lower,2,MIRAGES,11.710,-0.122
rewritten,DCRS,12.831,lower,17,SXZ,11.830,1.001
rewritten,CLI,15.587,lower,15,Aard,15.360,0.227
rewritten,LENS,72.733,higher,6,SUWMIT,72.610,0.123
rewritten,AlignScore,0.772,higher,4,TupiQ,0.762,0.010
rewritten,SummaC,0.681,higher,3,SUWMIT,0.682,-0.001
