variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.316,higher,10,Aard,0.319,-0.003
initial,BLEU,5.138,higher,10,RainCityNLP,4.870,0.268
initial,METEOR,0.266,higher,9,TupiQ,0.268,-0.002
initial,BERTScore,0.849,higher,11,CUTN_Bio,0.848,0.001
initial,FKGL,11.422,lower,2,MIRAGES,11.710,-0.288
initial,DCRS,12.985,lower,17,SXZ,11.830,1.155
initial,CLI,15.021,lower,13,5cNLP,15.340,-0.319
initial,LENS,71.913,higher,7,Aard,71.510,0.403
initial,AlignScore,0.795,higher,4,TupiQ,0.762,0.033
initial,SummaC,0.695,higher,2,SUWMIT,0.682,0.013
rewritten,ROUGE,0.324,higher,8,LaySummX,0.321,0.003
rewritten,BLEU,5.753,higher,8,Aard,5.450,0.303
rewritten,METEOR,0.275,higher,7,TupiQ,0.268,0.007
rewritten,BERTScore,0.848,higher,11,CUTN_Bio,0.848,0.000
rewritten,FKGL,11.570,lower,2,MIRAGES,11.710,-0.140
rewritten,DCRS,12.966,lower,17,SXZ,11.830,1.136
rewritten,CLI,15.123,lower,13,5cNLP,15.340,-0.217
rewritten,LENS,67.271,higher,9,BDA-UCM,64.070,3.201
rewritten,AlignScore,0.788,higher,4,TupiQ,0.762,0.026
rewritten,SummaC,0.700,higher,2,SUWMIT,0.682,0.018
