variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.334,higher,5,BDA-UCM,0.334,0.000
initial,BLEU,6.435,higher,7,5cNLP,6.140,0.295
initial,METEOR,0.296,higher,4,BDA-UCM,0.294,0.002
initial,BERTScore,0.846,higher,12,MIRAGES,0.846,0.000
initial,FKGL,14.515,lower,13,Aard,14.560,-0.045
initial,DCRS,13.578,lower,17,SXZ,11.830,1.748
initial,CLI,16.682,lower,16,MetinOZU,17.010,-0.328
initial,LENS,66.732,higher,9,BDA-UCM,64.070,2.662
initial,AlignScore,0.758,higher,5,Baseline-qwen2.5-7B-sft,0.754,0.004
initial,SummaC,0.667,higher,3,RainCityNLP,0.653,0.014
rewritten,ROUGE,0.333,higher,7,5cNLP,0.333,-0.000
rewritten,BLEU,6.353,higher,7,5cNLP,6.140,0.213
rewritten,METEOR,0.293,higher,5,Aard,0.293,0.000
rewritten,BERTScore,0.846,higher,13,MIRAGES,0.846,-0.000
rewritten,FKGL,14.597,lower,14,Aard,14.560,0.037
rewritten,DCRS,13.642,lower,17,SXZ,11.830,1.812
rewritten,CLI,16.749,lower,16,MetinOZU,17.010,-0.261
rewritten,LENS,65.942,higher,9,BDA-UCM,64.070,1.872
rewritten,AlignScore,0.757,higher,5,Baseline-qwen2.5-7B-sft,0.754,0.003
rewritten,SummaC,0.662,higher,3,RainCityNLP,0.653,0.009
