variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.310,higher,10,Aard,0.319,-0.009
initial,BLEU,4.766,higher,11,RainCityNLP,4.870,-0.104
initial,METEOR,0.254,higher,9,LaySummX,0.253,0.001
initial,BERTScore,0.848,higher,12,CUTN_Bio,0.848,-0.000
initial,FKGL,11.694,lower,2,MIRAGES,11.710,-0.016
initial,DCRS,13.272,lower,17,SXZ,11.830,1.442
initial,CLI,15.464,lower,15,Aard,15.360,0.104
initial,LENS,72.186,higher,7,SUWMIT,72.610,-0.424
initial,AlignScore,0.807,higher,4,TupiQ,0.762,0.045
initial,SummaC,0.714,higher,2,SUWMIT,0.682,0.032
rewritten,ROUGE,0.308,higher,10,Aard,0.319,-0.011
rewritten,BLEU,4.781,higher,11,RainCityNLP,4.870,-0.089
rewritten,METEOR,0.253,higher,9,LaySummX,0.253,0.000
rewritten,BERTScore,0.848,higher,12,CUTN_Bio,0.848,-0.000
rewritten,FKGL,11.703,lower,2,MIRAGES,11.710,-0.007
rewritten,DCRS,13.296,lower,17,SXZ,11.830,1.466
rewritten,CLI,15.518,lower,15,Aard,15.360,0.158
rewritten,LENS,71.864,higher,7,Aard,71.510,0.354
rewritten,AlignScore,0.813,higher,4,SXZ,0.862,-0.049
rewritten,SummaC,0.720,higher,2,SUWMIT,0.682,0.038
