variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.293,higher,10,MIRAGES,0.288,0.005
initial,BLEU,4.542,higher,12,MIRAGES,4.630,-0.088
initial,METEOR,0.236,higher,11,RainCityNLP,0.241,-0.005
initial,BERTScore,0.848,higher,12,CUTN_Bio,0.848,-0.000
initial,FKGL,10.830,lower,2,CUTN_Bio,10.520,0.310
initial,DCRS,13.346,lower,17,SXZ,11.830,1.516
initial,CLI,15.380,lower,15,Aard,15.360,0.020
initial,LENS,70.686,higher,9,MIRAGES,71.270,-0.584
initial,AlignScore,0.837,higher,4,SXZ,0.862,-0.025
initial,SummaC,0.751,higher,2,SUWMIT,0.682,0.069
rewritten,ROUGE,0.305,higher,10,Aard,0.319,-0.014
rewritten,BLEU,5.832,higher,8,5cNLP,6.140,-0.308
rewritten,METEOR,0.251,higher,10,LaySummX,0.253,-0.002
rewritten,BERTScore,0.848,higher,11,CUTN_Bio,0.848,0.000
rewritten,FKGL,11.056,lower,2,CUTN_Bio,10.520,0.536
rewritten,DCRS,13.381,lower,17,SXZ,11.830,1.551
rewritten,CLI,15.586,lower,15,Aard,15.360,0.226
rewritten,LENS,66.902,higher,9,BDA-UCM,64.070,2.832
rewritten,AlignScore,0.840,higher,4,SXZ,0.862,-0.022
rewritten,SummaC,0.763,higher,2,SUWMIT,0.682,0.081
