variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.321,higher,9,LaySummX,0.321,-0.000
initial,BLEU,5.057,higher,10,RainCityNLP,4.870,0.187
initial,METEOR,0.271,higher,7,TupiQ,0.268,0.003
initial,BERTScore,0.844,higher,13,MIRAGES,0.846,-0.002
initial,FKGL,16.612,lower,16,RainCityNLP,16.740,-0.128
initial,DCRS,13.505,lower,17,SXZ,11.830,1.675
initial,CLI,17.140,lower,17,MetinOZU,17.010,0.130
initial,LENS,68.119,higher,9,MIRAGES,71.270,-3.151
initial,AlignScore,0.712,higher,8,Baseline-llama3-8B-sft,0.722,-0.010
initial,SummaC,0.602,higher,8,MIRAGES,0.605,-0.003
rewritten,ROUGE,0.324,higher,8,LaySummX,0.321,0.003
rewritten,BLEU,5.289,higher,10,LaySummX,5.440,-0.151
rewritten,METEOR,0.276,higher,7,TupiQ,0.268,0.008
rewritten,BERTScore,0.843,higher,13,MIRAGES,0.846,-0.003
rewritten,FKGL,16.358,lower,15,MetinOZU,16.450,-0.092
rewritten,DCRS,13.593,lower,17,SXZ,11.830,1.763
rewritten,CLI,17.263,lower,17,MetinOZU,17.010,0.253
rewritten,LENS,67.811,higher,9,MIRAGES,71.270,-3.459
rewritten,AlignScore,0.708,higher,8,Aard,0.695,0.013
rewritten,SummaC,0.610,higher,7,MIRAGES,0.605,0.005
