variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.338,higher,4,TupiQ,0.335,0.003
initial,BLEU,6.739,higher,7,MetinOZU,6.950,-0.211
initial,METEOR,0.274,higher,7,TupiQ,0.268,0.006
initial,BERTScore,0.851,higher,10,Aard,0.851,-0.000
initial,FKGL,10.371,lower,1,CUTN_Bio,10.520,-0.149
initial,DCRS,12.190,lower,17,SXZ,11.830,0.360
initial,CLI,14.151,lower,13,Baseline-qwen2.5-7B-sft,13.700,0.451
initial,LENS,74.769,higher,5,5cNLP,76.050,-1.281
initial,AlignScore,0.755,higher,5,Baseline-qwen2.5-7B-sft,0.754,0.001
initial,SummaC,0.698,higher,2,SUWMIT,0.682,0.016
rewritten,ROUGE,0.337,higher,4,TupiQ,0.335,0.002
rewritten,BLEU,6.685,higher,7,MetinOZU,6.950,-0.265
rewritten,METEOR,0.274,higher,7,TupiQ,0.268,0.006
rewritten,BERTScore,0.850,higher,10,LTRC,0.850,0.000
rewritten,FKGL,10.388,lower,1,CUTN_Bio,10.520,-0.132
rewritten,DCRS,12.214,lower,17,SXZ,11.830,0.384
rewritten,CLI,14.188,lower,13,Baseline-qwen2.5-7B-sft,13.700,0.488
rewritten,LENS,73.908,higher,5,Baseline-llama3-8B-sft,72.860,1.048
rewritten,AlignScore,0.754,higher,5,Baseline-qwen2.5-7B-sft,0.754,0.000
rewritten,SummaC,0.691,higher,2,SUWMIT,0.682,0.009
